nombre app,url,descripción,numRatings,ratings4,ratings5,recentChanges,reviews
Prueba embarazo Scanner Prank,https://play.google.com/store/apps/details?id=dpapps.pregnancy.scanner.test,"Embarazo aplicación de prueba de la diversión es para fines de entretenimiento. Consulte a un médico en caso de embarazo real. Prueba de embarazo Fun App es una aplicación de broma que le permite disfrutar de una serie de información aleatoria sobre el embarazo. Si te gusta divertirse con sus amigos y familia, entonces lo haría sin duda como esta aplicación. Esta prueba de embarazo huella digital divertida aplicación está diseñada sólo para divertirse y sólo calculará los resultados de embarazo falso. Esta aplicación de escáner prueba de embarazo se desarrolla de tal manera que ciertas personas que no son realmente conscientes de las capacidades de los teléfonos androides serían seguros si se trata de una aplicación de broma o real. Esta aplicación le dará información sobre si está embarazada o no, si está embarazada entonces cuántos meses de embarazo, si usted va a tener un niño o una niña, niño gemelo, niñas gemelas o ambos. Disfruta de esta divertida aplicación, difundir alegría y tener momentos divertidos con sus amigos y familiares. Mantener a todos contentos. CÓMO UTILIZAR: * Coloca el dedo suavemente en la almohadilla de escaneo de huellas digitales y esperar para su análisis. * Resultado de su embarazo falso se muestran después de cálculo. Descargo de responsabilidad: Embarazo aplicación de prueba Diversión broma es para fines de entretenimiento. Se te da información acerca de su embarazo. Esta información no es posible con las pantallas de su dispositivo Android. Los resultados que se muestran son sólo la información relacionada con el embarazo azar. Es la mejor aplicación para divertirse con sus amigos y familiares.",1678,3.0,116,683,[bug fixes],"[Ana maria gonzalez Tu chulería y tu real ignorancia dan cáncer al mundo, se nota que no entiendes un Pepe de inglés y que te fuiste de la escuela a los 12 años, si es que has llegado todavía... Haciéndose la chula en Google Play sin razón..., Chicas hay mucha desinformación y mas al parecer en chicas jovenes, lo único que puede decirles si están o no es una prueba tanto sanguínea o casera (venta en farmacias) ya que detectan una hormona que se empieza a segregar con el embarazo o un ultrasonido, nada mas. Se que es una broma pero leo los comentarios y me preocupa., ¿Cómo carajos puede la gente creer que esto es real? Para las niñitas que se hacen las ""pruebas de embarazo"" aquí: No pueden salir embarazadas así porque sí, deben tener relaciones sexuales para que sea cierto; además en vez de venir a descargar aplicaciones de mierda deberían dejar de pensar eso y estar más atentas al estudio. La generación de hoy día está muy rata y pendeja..., Es una bromaaa! Me choca la gente estúpida que se queja sin leer ""broma"" dejen de descargar cosas si no van a poner atención!! Que por eso la gente se muere., Fatal Puse el mismo dedo 4 veces(en el mismo día),la primera me dijo que estaba de 3 semanas,la segunda de 5,la tercera de 7 y por ultimo me dijo que era un niño!!!,Lo mejor de todo es que tengo 12 años y no me ha bajado la regla., No mola por la broma Yo lo he hecho varias vezes i la primera me dijo que eran niño i niña i tengo 11 años pero me ha bajado la recla prefiero usar el clirblu test real de embarazo]"
Embarazo +,https://play.google.com/store/apps/details?id=com.hp.pregnancy.lite,"¿Embarazada? ¡Consigue la aplicación de embarazo nº. 1 en el mundo! ¿Quieres ver imágenes preciosas e interactivas durante cada semana de tu embarazo? Únete a más de 12 millones de usuarios que ya utilizan esta aplicación para seguir su embarazo semana a semana. Nuestra aplicación, Embarazo+, puede personalizarse para padres, abuelos y otros miembros de la familia. ¡Todo lo que necesitas en una aplicación para el embarazo! - Información DIARIA sobre el embarazo - Imágenes a color y ecografías - Diario personal - Registro de peso personal - Registro de citas médicas - Información sobre dieta, ejercicio y parto - Contador de patadas - Contador de contracciones - Lista de la compra para el bebé - Miles de nombres de niño y niña - Guía de tamaño del bebé - Información del embarazo semana a semana - Y muchas cosas más... Health and Parenting te apoya en todas las etapas de la maternidad. -------------------------------------------------- Políticas de privacidad: http://www.health-and-parenting.com/policy/Privacy_Policy.html Términos de uso: http://www.health-and-parenting.com/policy/EULA.html -------------------------------------------------- Esta aplicación no ha sido creada para uso médico ni sustituye los consejos de un médico. Health & Parenting Ltd no se hace responsable por el uso o abuso de la información proporcionada por la aplicación, la cual se ofrece como fuente de información general y de ninguna manera sustituye la atención médica personalizada. Si tienes alguna duda sobre tu embarazo, consulta su médico o partera de inmediato. El equipo de Health & Parenting te desea un embarazo saludable, a término y sin ningún problema en el parto.",144514,4.5,20356,106842,"[Si valoras el trabajo que hacemos en Health & Parenting, ¿podrías escribirnos un comentario en la tienda de Google Play?, ¡Te deseamos un embarazo saludable!, ¡Gracias!, En esta actualización hemos hecho mejoras generales de rendimiento y hemos corregido algunos pequeños errores. También actualizamos y expandimos todos los artículos diarios., Nos gusta conocer tu opinión, así que sigue enviándonos sugerencias a support@health-and-parenting.com]","[Realmente es muy buena la app. Vale la pena el pago que se realiza para continuar viendo la info. Tengo varias apps de embarazo y esta es mi favorita, EA interesante pero ya no pide ver pprk me cobran para actualizarla, Muy buena excelente lo único q en el 2trimestre cobran y la mayoría no tenemos esos recursos, Es muy buena. Te muestra semana a semana q acontece con tu bebe y te hace buenas recomendaciones, como ago para actualizarlo todo ??? me pide numeor de tarjeta no hay otra opción? de comprarlo con credito del celular ?, Una pena porque me gustaba mucho,tenía iPhone y pague la tarifa Premium tenía acceso a todo y ahora entro con mi usuario y debo de volver a pagar es una estafa !!!!!!]"
Medscape,https://play.google.com/store/apps/details?id=com.medscape.android,"Medscape provides fast and accurate clinical answers at the point-of-care and is the leading medical resource for physicians, medical students, nurses, and other healthcare professionals. Using Medscape Consult, physicians can access a community of more than 250K physicians worldwide to share cases, ask questions, and benefit from their knowledge and diverse experiences. Discuss clinical challenges and crowdsource the answers in a 24/7 moderated environment. NEW! Find the lowest drug prices and share discount cards with patients. With the Medscape app you can: • Quickly look up medications and dosages with our Drug Reference Tool • Avoid adverse drug combinations with our Drug Interaction Checker • Find vital information for patient care with evidence-based Disease & Condition reference • Stay current with the latest medical news and earn CME -- all in one place • Other useful resources within the app: Step-by-Step Procedural Articles, Medical Calculators, Pill ID Tool, Image Collections, Formulary Information, and more! The Medscape app is free. Log-in is required the first time you use the Medscape app. If you are new to Medscape, you can register for a free account in the app. For more information, visit medscape.com/medscapeapp If you have any suggestions to improve our app or are having usage issues, please contact us through our online help center at help.medscape.com. NOTE: Users with 'rooted' devices and ad-blocker software installed may experience connectivity errors while using Medscape. Please disable ad-blocker software before attempting to download Medscape's offline Clinical Reference. Medscape proporciona respuestas clínicas rápidas y precisas en el punto de atención y es el recurso principal para los médicos de medicina, estudiantes de medicina, enfermeras y otros profesionales de la salud. El uso de Medscape Consult, los médicos pueden acceder a una comunidad de más de 250K médicos en todo el mundo para compartir los casos, hacer preguntas, y beneficiarse de sus conocimientos y experiencias diversas. Discutir los retos clínicos y crowdsource las respuestas en un entorno moderado 24/7. ¡NUEVO! Encuentra los precios más bajos de drogas y tarjetas de cuota de descuento con los pacientes. Con la aplicación Medscape puede: • buscar rápidamente medicamentos y las dosis con nuestra herramienta de Medicamentos • Evitar combinaciones adversas a los medicamentos con nuestra interacción de drogas Comprobador • Encontrar información vital para la atención de los pacientes con la enfermedad y condición de referencia basada en la evidencia • Manténgase al día con las últimas noticias de medicina y ganar CME - todo en un solo lugar • Otros recursos útiles dentro de la aplicación: los artículos de procedimiento paso a paso, Médico calculadoras, Tool ID píldora, colecciones de imágenes, información del formulario, y más! La aplicación Medscape es gratis. Conectar se requiere la primera vez que utilice la aplicación Medscape. Si usted es nuevo en Medscape, puede registrarse para obtener una cuenta gratuita en la aplicación. Para obtener más información, visite medscape.com/medscapeapp Si usted tiene alguna sugerencia para mejorar nuestra aplicación o tiene problemas de uso, por favor, póngase en contacto con nosotros a través de nuestro centro de ayuda en línea en help.medscape.com. NOTA: Los usuarios con dispositivos arraigados '' y el software ad-bloqueador instalados pueden experimentar errores de conectividad durante el uso de Medscape. Por favor, desactivar el software ad-bloqueador antes de intentar descargar clínico de referencia en línea de Medscape.",48350,4.4,9434,32866,"[-Bug fixes and performance enhancements, -New Consult Feature: Make your voice heard by voting for your favorite posts and responses!]","[Estar al día, Muy completa y actualizada., Muy práctico, brillante app, No puedo ver la parte de consult, ?????, Muy útil en todo momento. Sólo una duda, habrá forma de cambiar el idioma a Español? Tener soporte en varios idiomas es lo único que le falta.]"
Figure 1 - Imágenes Médicas,https://play.google.com/store/apps/details?id=com.figure1.android,"Más de 1 millón de profesionales de la salud usan Figure 1 para: ? Reconocer condiciones raras en sus pacientes ? Mejorar sus conocimientos médicos sobre la marcha ? Compartir casos de enseñanza con una comunidad global, resguardando la privacidad de los pacientes ? Comunicarse entre sí desde ubicaciones remotas o aisladas ? Enviar mensajes privados seguros y encriptados a sus colegas Utilidad de Figure 1: ? Ver miles de casos clínicos reales compartidos por médicos y enfermeras en cientos de especialidades ? Accionar a profesionales de la salud de todo el mundo para recibir retroalimentación instantánea ? Comunicarse con sus colegas utilizando mensajes privados seguros y encriptados La mejor forma para conectarse con: ? Médicos de hospitales de renombre internacional en más de 190 países ? Profesionales sanitarios que ejercen en unidades de trauma, campos de refugiados y zonas remotas del mundo ? Instituciones como Doctors Without Borders, Mount Sinai Hospital en Nueva York, y Massachusetts General Hospital",12394,4.5,2418,8748,"[**Si te gusta Figure 1, por favor ayúdanos haciendo la revisión de la aplicación.**, • Corrección de errores y actualizaciones para mejora de performance.]","[Está buena, te hace pensar. Lo malo es que no tiene la respuesta correcta a la pregunta...o yo no la encontré, Buenísimo gracias, Muy buena aplicación, es la única a mi parecer, no encuentro otra., Excelente!!, Excelente aplicación como complemento de estudio para estudiantes en el área de salud, ¡Excelente!]"
Coomeva MP,https://play.google.com/store/apps/details?id=com.coolappz.CoomevaMP,"Hemos creado una nueva aplicación de Coomeva Medicina Prepagada para Smartphones que te facilita la vida a través las siguientes funcionalidades: - Directorio Médico, Odontológico y de Urgencias: Esta opción permite consultar los profesionales de salud e instituciones médicas que hacen parte de nuestro directorio. - Oficinas: Te permite consultar la información general de nuestras oficinas administrativas a nivel nacional en las cuales podrás realizar trámites de autorizaciones médicas o contactarte con un asesor comercial entre otras. - Alianzas: En esta opción podrás conocer los descuentos y beneficios especiales que tenemos a tu disposición con reconocidas marcas aliadas. - Medios de Pago: Podrás conocer los diferentes medios que te ofrecemos para hacer el pago de tu estado de cuenta mensual (solo aplica para usuarios con el Plan Familiar). - Favoritos: Esta opción te permite guardar tus profesionales de salud, instituciones y oficinas favoritas teniendo un acceso rápido a la información de esta.",179,3.5,23,84,[- Se modificó el enlace de Salud+],"[Mala? Perversa, absolutamente inútil., Es muy buena y ahorro tiempo en desplazamientos., Es útil pero podría estar mejor. Me trae todos los especialistas de todo bogotá y realmente busco algo lo mas cercano. Podrían usar el gps para optimizar la búsqueda., Falta un mapa. Deberían mostrar las direcciones en mapa para facilitar la búsqueda a los usuarios y seria espectacular si mediante la aplicación se pudieran agendar citas, Está aplicación no es más que un directorio. Es útil, pero no satisface las necesidades reales de los usuarios, debería interactuar como solicitud de cita y respuesta por parte de la IPS o al menos tener enlaces a la llamada. Lo peor de todo es que los números en muchos casos están desactualizados, imperdonable para un directorio., Muy útil Me ha servido bastante para encontrar la informacion relacionada con los doctores inscritos a COOMEVA Medicina Prepagada. De esta forma no requiero andar con el directorio físico.]"
Huesos humanos 3D (anatomía),https://play.google.com/store/apps/details?id=com.androiddevelopermx.blogspot.bones3d,"Proporciona información sobre la anatomía del esqueleto humano. En un modelo en tercera dimensión (3D) altamente detallado. - Se puede manipular el modelo, zoom, rotar, mover la cámara. - Muestra el patrón natural o divisiones. - La información de texto se puede maximizar o minimizar para leer cómodamente priorizar el modelo. - Al seleccionar un hueso, el hueso cambiará de color, así que compruebe sus límites y cuáles son sus formas. - Información anatómica práctico y útil Valioso en su palma. Referencia a la educación primaria, la escuela secundaria, la universidad o la cultura en general. - Obtener información sobre la ubicación y las descripciones de los huesos tales como el cráneo, el fémur, la mandíbula, escápula, húmero, el esternón, la pelvis, la tibia, vértebras, etc. * Hardware Recomendado Procesador de 1 GHz o más. 1 GB de RAM o más. Pantalla de alta definición.",13520,4.4,2700,8647,"[* Mejora en la forma del dibujo de la interfaz., * Cambio en la iluminación., * Desempeño mejorado.]","[Es muy básico. Propaganda ralentiza aplicación, Es completacm gusta y facil d utilizar, Me sirve de mucho en mi escuela, gracias!!, A sido de gran ayuda en mis estudios sobre anatomia, es muy intuitiva y de facil aprendizaje...me encanto gracias, Exelente, se que es un gran esfuerzo el que se llevó a cabo, estaría mil veces mejor si incluyera a detalle los huesos del cráneo, Es bueno pero seria un poco mejor mejorar los graficos y que muestre los condilos, apófisis y foramen]"
Vademécum MK,https://play.google.com/store/apps/details?id=com.smartmedia.vademecum,Material educativo dirigido a profesionales de la salud sobre los medicamentos de MK. MK contribuye desde hace más de 45 años a la salud de la población con un completo portafolio de óptima calidad y con la mejor relación costo/beneficio del mercado.Pone al alcance de amplios sectores sociales 150 sustancias y cerca de 250 referencias que cubren las principales terapias. Su tradición y experiencia se traduce en la confianza de los millones de consumidores y de los profesionales de la salud en sus distintas especialidades.,427,4.4,88,274,[Optimización en la transferencia de imágenes de los productos.],"[Simpre se queda en actualizando código de hay no pasa, Era mucho mejor antes. Hasta q llegaron y la dañaron. Esta versión la verdad no me gustó para nada., Cinco en todo, No sirve, Dañaron la aplicacion tan buena que era. Ahora tica esperar largo tiwmpo hasta que inicie, Muy buena, fácil y rápida. Pero ¿qué pasó con la parte de los medicamentos de oftalmología? Ya no aparecen.]"
EPS Sanitas,https://play.google.com/store/apps/details?id=colsanitas.foonkiemonkey.com.co.eps,"Una aplicación exclusiva para afiliados EPS Sanitas. Para poder tener acceso a la oficina virtual es importante que hayas realizado tu registro previamente En nuestra oficina virtual usted podrá: Realizar solicitud de citas de medicina y odontología general, pediatría y planificación familiar de nuestros centros médicos. Tramitar Solicitud de autorizaciones médicas ordenadas por tu médico de EPS Sanitas. Seguimiento y consulta de autorizaciones médicas. Directorio médico con rutas de llegada y parqueaderos cercanos, reporte de novedades Directorio de oficinas con rutas de llegada, parqueaderos cercanos , posibilidad de lista por horarios de atención.",359,2.5,20,98,"[Solicitud de citas de medicina y odontología general, pediatría y planificación familiar de nuestros centros médicos., Seguimiento y consulta de autorizaciones médicas., Hemos renovado nuestra APP con nuevas opciones:, Consulta nuestra red de atención y oficinas., Porque nuestro compromiso es mejorar para ti, Solicitud de autorizaciones médicas ordenadas por tu médico de EPS Sanitas.]","[No me permite ver examenes fue dificil acceder y se demora mucho cuando actualiza, Demasiado mala, no carga bien, se sale continuamente, a veces ni carga. No sirve para nada, Una APP mala no carga no sirve por favor arreglenla o no la den a conocer hasta que funcione bien, La nueva app de sanitas mejor, pero aún tiene el problema de que no deja agendar citas con medicina general, No salen todo mi grupo familiar en la Aplicación no me gustó x cada vez q uno se devuelve le toca poner la clave para ingresar de nuevo, No recuerdo la clave, la solicito y nunca llega email... Además muy lenta.]"
Sistema Muscular 3D (Anatomía),https://play.google.com/store/apps/details?id=com.androiddevelopermx.blogspot.muscles3d,"Muestra un modelos tridimencional del Sistema Muscular y una descripción de cada musculo de cuerpo humano. Al tocar un musculo directamente con los dedos, te mostrara la informacion corresponciente. Características: - Acercar y alejar. - Ocultar o mostrar la información. - Cambiar la elevacion - Se puede ver horizontal o vertical",7470,4.2,1583,4413,"[* Se agregaron muchos musculos., * Se actualizaron librerias., * Nuevo modelo 3D., * Mejora de rendimiento., * Se agregaron texturas.]","[Tengo El Pastel Para Los Examenes Y Demas, EXCELENTE!!! GENIAL! MIL FELICITACIONES POR SU TIEMPO Y DEDICACION. GRACIAS POR COMPARTIRLO. TE DOY 10 ESTRELLAS.. SI SI..., Impresionante! Ojalá hubiéramos tenido esto en el colegio... hubiera sido tan fácil aprender anatomía., Solo quería indicar que cuando pinchas en el músculo iliocostal aparece la información de otro. Salvo esto la aplicación ayudar mucho a saber la posición exacta aunque no puedas adentrarte en los más profundos., Felicidades ING. Por crear una aplicación fácil de entender y objetiva, Es La Mejor App Que Visto En Mi Vida]"
Colsanitas,https://play.google.com/store/apps/details?id=com.eelseth.sanitas,"¡Tenemos una nueva versión para ti! Seguimos trabajando para darte una mayor calidad. Descarga las novedades de una aplicación más fácil y ágil, que te ayudará a disfrutar de nuestros servicios sin desplazarte y desde la comodidad del lugar que te encuentres. Si aún no estás registrado en la oficina virtual te invitamos a hacerlo en www.colsanitas.com Nuestros servicios más cerca de ti *Accede al directorio médico y odontológico para conocer los profesionales e instituciones de salud, así como su disponibilidad de citas para mayor oportunidad en tu atención. Realiza búsqueda avanzada por ciudad, nombre o especialidad, ubícalos en el mapa y conoce los parqueaderos más cercanos, llama directamente para programar tu cita. También puedes reportar las novedades en la información que aparece del contacto publicado. Consulta el directorio de oficinas administrativas y conoce los servicios que prestan, el horario de atención, ubícalas en el mapa e identifica los parqueaderos más cercanos. Desde el menú de oficina virtual: Solicita y consulta tus autorizaciones de servicios médicos de diagnóstico y cirugías. Agenda tu cita médica para Clinisanitas y Clínicas propias, hacerlo es muy fácil, ubica la ciudad, la especialidad, la sucursal, horario o consulta por el nombre del médico y Confirma la asignación de la cita. Y si no puedes asistir podrás utilizar esta misma vía para cancelar y reprogramar. Accede a tu agenda para verificar las citas programadas y canceladas.",521,3.1,74,170,"[Mejoramos  tu experiencia, ahora tienes Solicitud de Citas Médicas., Más fácil, más rápido, más cerca…]","[La app se cierra intenpestivamente y no permite pasar del primer menu de selección, No funciona, No sirve, no he podido ingresar a la oficina virtual con esta aplicación, me toca siempre desde un equipo de escritorio. Cuando llamo siempre me dicen que estamos en actualización... Sólo utilizo para ver el directorio médico., Pésima aplicación en vez de mejorar empeora, la oficina virtual mal servicio en general., La aplicación no funciona, se cierra automáticamente y no deja seleccionar en el menu. Muy mal, siempre toca recurrir a la página web., Se cierra al abrir]"
Prueba de embarazo casera,https://play.google.com/store/apps/details?id=com.mobincube.pruebas_caseras.sc_31LDNX,"Si quieres hacerte una prueba para saber si estás o no esperando un bebé y que además sea “casera” te doy algunas ideas. Descubre métodos que se han utilizado durante años, a modo de remedio casero y de hecho seguro que todavía puede que os encontréis con que vuestra madre o abuela os de uno de estos métodos para confirmar vuestro embarazo. Esta aplicación también se incluye una guía de síntomas y consejos sobre el embarazo. Recuerda siempre acudir a tu médico para comprobar los resultados y muy importante : tu periodo se puede ver afectado por situaciones de estrés.",69,4.1,11,41,[],"[En vdd funciona o no, Buenissima sigan adelante, Me parecen bien, Muy buena!, Muy buenA Me funciono, Parecera una tonteria pero la prueba del aceite le funciono a mi amiga]"
MedInterna,https://play.google.com/store/apps/details?id=medicina.interna.algoritmos,"El objetivo de esta aplicación es servir de guía rápida para los médicos que necesiten saber como proceder cuando están ante un paciente con alguna patología de medicina interna y lo puedan hacer tomando las conductas mas adecuadas. Para conseguir el objetivo de ser una ayuda rápida y puntual, se utiliza la metodología de algoritmos o mapas mentales. Se intenta reducir lo mas posible los párrafos extensos y tediosos. Para su elaboración se utilizan fundamentalmente y en la medida de lo posible, las guías internacionales existentes sobre el tema. No intentan reemplazar las revisiones de temas, las cuales se encuentran ampliamente difundidas. Son guías practicas que requieren el conocimiento previo de la patología, la parte fundamental, las bases fisiopatológicas.",42,4.5,5,32,"[Actualizar temas como EPOC, Infeccion de vias urinarias.]","[Excelente aplicación., Es excelente! Faltan algunos temas como infarto agudo del miocardio. Pero los que están disponibles se encuentran actualizados. Muy bueno. La recomiendo!, Muy buena la recomiendo, y los que la califican mal sólo tengan en cuenta que requiere conexión con internet., No sirve, Sería agradable que cambiaran el logo de la aplicación por uno más sofisticado, Muy buen inicio. Se que en algunos meses le calificare con excelente Cuando la acaben de pulir . Los felicito.]"
Vetemecum,https://play.google.com/store/apps/details?id=com.dipsody.vetemecum,"Aplicación para Médicos Veterinarios y estudiantes de Medicina Veterinaria en donde podrás tener la dosis de cientos de fármacos utilizados día a día en la clínica, además encontraras frecuencias y constantes, calculadoras de dosis, fluidoterapia y transfusión sanguínea.",601,4.5,133,403,"[Corrección dosis Meloxicam, Nuevos farmacos, Corrección de errores]","[Esta re buena!!! Puede mejorar.... se ve que esta muy bien elaborada, la instale para ver que tal, pero no me gusto que la concentracion no se pudiera poner en Ml, sólo en %.... es lo único, ah bueno quizas haga falta mas información en algunos fármacos. Pero por lo demas me encanta es genial....Todo lo que un MV o MVZ puede necesitar está en esta sola app..., perfecto simple, preciso, completo!!!! el mejor que he descargado!!! gracias excelente aporte. y los vagos que quiere concentraciones en ml... calculen un pokito con los dedos... harto salva esta aplicacion pa exigir detalles tan simples... y ojo con las dosis... si 4 c/24... sera 2 c/12!!! eso queda a criterii nuestro mas que mal debemos saber desde farmacologia como jugar con los farmacos!!!!! felicitaciones d nuevo! excelente., Está bueno! Esta muy bueno y es muy util. Encontré dos errores de lo que vi. Carprofeno es 2,2 mg/kg cada 12 hs (dice 4 una vez al dia) y el amitraz es acaricida solamente (dice pulgas también)., Me encanta ,la Amo Es muy buena la app felicitaciones al creador yo soy una niña pero mi sueño fue siempre el de ser veterinaria para salvar perros heridos (animales en realidad no sólo perros)Pero es genial me ayuda mucho Gracias Sin duda esta es una de esas app que nunca decintalarla, Excelente Falta agregar algunas cosas y mejorar otras, como en la dosificación que la concentración no viniera solo en % tambien en ml, pero esta muy buena esta idea, saca de apuros y lo mejor esque no necesita internet para funcionar, puedes tener dosis en cualquier momento., Hola.quiero saber. Como sacar cositas negras del lomo de la gata castrada. Tenia pulgas le compre comfortis. Es muy salvaje nunca la bañe. .la adopte de seis meses hace cinco que la tengo.]"
Dottli: La diabetes fácil,https://play.google.com/store/apps/details?id=com.modz.app,"Dottli es una aplicación de gestión de la diabetes que le ayuda a controlar y gestionar mejor su salud. Dottli incorpora características innovadoras para mejorar su vida con diabetes. ¿Se siente solo con su diabetes? Con Dotti puede realizar un seguimiento de su salud y obtener apoyo de muchas maneras. El simple hecho de saber cómo evoluciona le resultará gratificante. Lo mejor es que sus amigos le pueden ayudar y usted también a ellos. ¡Juntos somos más fuertes! Lleve una mejor gestión y seguimiento de su salud Lleve un seguimiento de diversos aspectos de su salud: comidas, glucosa, ejercicio y estado de ánimo. Su progreso se visualiza de una forma fácil de comprender. Los emoticonos hacen que Dottli sea tan adictivo como un juego. Ahora puede compartir y realizar un seguimiento de sus comidas con un clic o compartir desde su galería de fotos *NOVEDAD*Ahora disponible en español Ya no está solo para enfrentarse a la diabetes Mantener un estilo de vida saludable puede ser divertido cuando se cuenta con el apoyo de los amigos. Puede chatear acerca de sus objetivos y la evolución de su salud. Puede compartir sus parámetros de salud con las personas que se preocupan por usted (y que le regañan cuando es necesario). Obtenga una perspectiva de su salud y de la diabetes Conozca el balance de su tratamiento con nuestro tablero. Comprenda cómo sus comidas afectan a su nivel de glucosa en sangre. Sincronice su actividad en Fitbit y realice el seguimiento con sus mediciones de diabetes Tome el control Podrá conocer inmediatamente su evolución y actuar en consecuencia. Tendrá pleno control sobre lo que comparte y con quién lo comparte. Sus datos están totalmente protegidos. La estricta legislación finlandesa y de la UE le protege. Mantendrá el anonimato salvo que decida compartir con su nombre. Tendrá el apoyo de información científica en formato breve - Estimación de HbA1c - Sus niveles de glucosa en sangre se visualizan de una forma fácil de comprender - Niveles de glucosa en sangre con etiqueta de comida - Niveles de glucosa en sangre con etiqueta de ejercicio - Apto para todos los diabéticos (tipo I y II) - Admite tanto unidades mmol/L como mg/dL - Todos los datos se pueden introducir manualmente; funciona con cualquier medidor de glucosa en sangre - Comparta su progreso, también con los profesionales de la salud - Envíe mensajes a las personas de los grupos, como en las aplicaciones de mensajería - Pleno control sobre los detalles de salud que comparte y con quién los comparte - Utilice cualquier medidor portátil o sensor; le proporcionamos un centro de datos continuo para todos sus datos - Compatible con los medidores portátiles Modz BGM y Fitbit; otros disponibles próximamente Nos esforzamos por mejorar Dottli y siempre agradecemos sus comentarios. Si tiene cualquier sugerencia, palabra de elogio, pregunta o inquietud, no dude en hacérnoslo saber. • Dottli.com • info@dottli.com • facebook.com/Dottlidiabetes • twitter.com/DottliHealth",225,4.2,43,136,[We are constantly updating Dottli with new features and improvements. Update to latest version to stay up to date.],"[Recien la estoy usando, me cuesta un poco entenderla, Buena enseñanza De gran ayuda para constrarestar la diabetes., Me encanta soy fobica a las agujas espero q m ayude, recién la estoy viendo me gusto, Me encanta tengo diabete Que es la planta llamada poro a que se parece, Estupenda.]"
Calendario del embarazo,https://play.google.com/store/apps/details?id=ru.mobiledimension.kbr,"¡El calendario de embarazo es a un ayudante insustituible para la mamá futura! Recibe la información detallada sobre el desarrollo de tu bebé en cada semana de embarazo. Cientos de miles de mujeres han elegido esta aplicación. ¡Únete a nosotros! En la aplicación: - Información DIARIA sobre el embarazo - Artículos útiles sobre el desarrollo del bebé y el embarazo semana a semana - Información sobre los cambios en su cuerpo - Ilustraciones a color e imágenes de ultrasonido - Consejos de una alimentación - Posibilidad de seguir el aumento del peso y el crecimiento del vientre - Contador, Temporizador de contracciones - Contador de movimientos y golpes - Información detallada sobre el plazo de embarazo - y mucho más Una mujer que espera el niño se está preparando para los géneros y, sin duda, quiere saber, cómo crece su bebé, lo que sucede a su cuerpo, cuales son cambios hasta el nacimiento del bebé. En nuestra aplicación es instalado el calendario detallado de embarazo por semanas, que da el acceso fácil a la información sobre el desarrollo del embarazo y el niño, los cambios en el organismo de la mamá futura, así como los consejos de una alimentación para las mujeres embarazadas. Para cada semana de embarazo hay cuatro bloques de la información – el desarrollo del bebé, el organismo de la mamá, una alimentación de la mamá, los consejos útiles. Para utilizar el calendario de embarazo y contar el plazo hasta el nacimiento del niño, introduzca la fecha de la última menstruación, y ver de inmediato la información sobre su plazo de embarazo. La aplicación no está destinada para uso médico y no sustituye la consulta de un médico calificado.",23991,4.8,3696,19475,[Optimización de aplicaciones],"[Me permite conocer el desarrollo de mi bebé, Muy completo me gusta..!!, Me parece que tiene un pequeño error, en la parte donde se debe colocar la semana que se va cursando no cuenta con la arternativa ""0"", por ejemplo yo hoy cumpli 17 semana y 0 días, pero en la aplicación no permite poner el ""0"", solo permite poner +1 día por lo que se adelanta un día que no corresponde, Me gusta por poder seguir el desarrollo de mi bebe, Lo poco q conozco me gusta, Una excelente explicación y calculo con.guia.de ayudas para saber como esta creciendo tu hermoso.bb .. me encanta esta aplicación]"
